ORDER_NUMBER,ORDER_ID,ORDER_UNIT_ID,ACCEPTANCE_TIME,COMPLETION_TIME,CUSTOMER_NUMBER,CUSTOMER_COUNT,ORDER_TYPE,ORDER_CLASS,PROCESSING_STATUS,SERVICE_CATEGORY,ORDER_DESCRIPTION_1,ORDER_DESCRIPTION_2,ORDER_DESCRIPTION_3_MAXIMUM,ADDITIONAL_ORDER_DESCRIPTION_MAXIMUM,NOTE_MAXIMUM,PLANNING_GROUP_KB,COMPLETION_RESULT_KB,REFERENCE_COMPLETION_RESULT,COMPLETION_NOTE_MAXIMUM,NETWORK_LEVEL,CAUSE,REFERENCE_ERROR_CAUSE,SERVICE_PROVIDER,REFERENCE_SERVICE_PROVIDER,SUBUNIT_NAME,CUSTOMER_COMPLETION_TIME,PROCESSING_END_TIME_MAXIMUM,PROCESSING_END_TIME_MINIMUM,ACCEPTANCE_TIME_MINIMUM,ASSIGNMENT_TIME_MINIMUM,IMIL_TIME_MINIMUM,CUSTOMER_TIME_MINIMUM,START_TIME_MINIMUM,ASSIGNMENT_TIME,ASSIGNED_BY_NAME,ASSIGNMENT_PROCESSING_STATUS,ASSIGNMENT_ADDITIONAL_INFO
001-0671177/24,114680574,,11/05/2024 11:00,11/05/2024 11:30,123,3,Short Ticket,SK,Completed,HDW,Cable Router,WLAN,Slow,,WLAN slow,TSCW2,WLAN settings optimized,,OK,NZ,URS_KIP_Reset_WLAN_Settings,,Customer,Customer,,11/05/2024 11:30,11/05/2024 11:00,11/05/2024 11:00,11/05/2024 11:00,,,11/05/2024 11:00,,,,,
001-0682295/24,114691514,,11/05/2024 13:00,11/05/2024 13:45,123,3,Short Ticket,SK,Completed,NTF,Request - KIP,Contract,Installation process/date,,Installation request,TSCKT,Technician appointment scheduled,,OK,NZ,CM_BERA_KD_Complaint_about_BI_Installation,,Customer,Customer,,11/05/2024 13:45,11/05/2024 13:00,11/05/2024 13:00,11/05/2024 13:00,,,11/05/2024 13:00,,,,,
001-0670952/24,114680352,,11/06/2024 08:00,11/06/2024 08:30,123,3,Short Ticket,SK,Completed,HDW,Cable Router,Internet,No connection,,No internet connection,TSCW2,Router restarted,,OK,NZ,URS_KIP_No_Connection,,Customer,Customer,,11/06/2024 08:30,11/06/2024 08:00,11/06/2024 08:00,11/06/2024 08:00,,,11/06/2024 08:00,,,,,
001-0671369/24,114680756,,11/06/2024 10:00,11/06/2024 10:15,123,3,Short Ticket,SK,Completed,HDW,Cable Router,WLAN,Unstable,,WLAN unstable,TSCW2,Channel changed,,OK,NZ,BM_STOE_HDW_Malfunction_KIP_WLAN_Without_Function_Not,,Customer,Customer,,11/06/2024 10:15,11/06/2024 10:00,11/06/2024 10:00,11/06/2024 10:00,,,11/06/2024 10:00,,,,,
001-0670929/24,114680329,,11/06/2024 12:00,11/06/2024 13:00,123,3,Task,SK,Completed,SOP,Activation VKD Modem (Third-Party Modem User),Cable Modem / Cable Router,Preliminary test result see note field,,Activation problem,TSCS2,SIT12,New BI order created,TSC#KCC,NZ,SIT11,BI order closed,KD,End Customer,,11/06/2024 13:00,11/06/2024 12:00,11/06/2024 12:00,11/06/2024 12:00,,,11/06/2024 12:00,,,,,
001-0670741/24,114680146,,11/07/2024 09:00,11/07/2024 09:15,123,3,Short Ticket,SK,Completed,SOP,Activation VKD Modem (Third-Party Modem User),Cable Modem / Cable Router,Preliminary test result see note field,,Modem activation,TSCS2,TITAN Session Aborted,,OK,NZ,k03,Troubleshooting - Customer reported issue,Customer,Customer,,11/07/2024 09:15,11/07/2024 09:00,11/07/2024 09:00,11/07/2024 09:00,,,11/07/2024 09:00,,,,,
001-0671178/24,114680575,,11/07/2024 11:00,11/07/2024 11:30,123,3,Short Ticket,SK,Completed,HDW,Cable Router,WLAN,No connection,,WLAN no connection,TSCW2,Router reset,,OK,NZ,URS_KIP_Reset_WLAN_Settings,,Customer,Customer,,11/07/2024 11:30,11/07/2024 11:00,11/07/2024 11:00,11/07/2024 11:00,,,11/07/2024 11:00,,,,,
001-0682296/24,114691515,,11/08/2024 08:00,11/08/2024 08:45,456,4,Short Ticket,SK,Completed,NTF,Inquiry - KIP,Invoice,Invoice Clarification,,Invoice Inquiry,TSCKT,Forwarded to Accounting,,OK,NZ,CM_BERA_KD_Invoice,,Customer,Customer,,11/08/2024 08:45,11/08/2024 08:00,11/08/2024 08:00,11/08/2024 08:00,,,11/08/2024 08:00,,,,,
001-0670953/24,114680353,,11/08/2024 10:00,11/08/2024 10:30,456,4,Short Ticket,SK,Completed,HDW,Cable Router,Internet,Slow,,Internet Slow,TSCW2,Firmware Update Performed,,OK,NZ,URS_KIP_Slow_Connection,,Customer,Customer,,11/08/2024 10:30,11/08/2024 10:00,11/08/2024 10:00,11/08/2024 10:00,,,11/08/2024 10:00,,,,,
001-0671370/24,114680757,,11/08/2024 12:00,11/08/2024 12:15,456,4,Short Ticket,SK,Completed,HDW,Cable Router,WLAN,Stable,,WLAN Stable,TSCW2,Channel Change Automatic,,OK,NZ,BM_STOE_HDW_FunktSt_KIP_WLAN_ohne_Funkt_nicht,,Customer,Customer,,11/08/2024 12:15,11/08/2024 12:00,11/08/2024 12:00,11/08/2024 12:00,,,11/08/2024 12:00,,,,,
